Technetium-99;air;low population density, long-term;kilo Becquerel;297
Methylamine;air;non-urban air or from high stacks;kilogram;298
Novaluron;soil;agricultural;kilogram;299
Hydrocarbons, aliphatic, alkanes, unspecified;air;low population density, long-term;kilogram;300
Bismuth;natural resource;in ground;kilogram;301
Methomyl;soil;forestry;kilogram;302
Sodium I;soil;industrial;kilogram;303
Transformation, from annual crop, greenhouse;natural resource;land;square meter;304
Bromine;water;ocean;kilogram;305
Sodium perchlorate;air;unspecified;kilogram;306
Krypton-88;air;urban air close to ground;kilo Becquerel;307
Hafnium;natural resource;in ground;kilogram;308
Dimethoate;air;low population density, long-term;kilogram;309
Occupation, pasture, man made, intensive;natural resource;land;square meter-year;310
Cyproconazole;water;unspecified;kilogram;311
Ammonium carbonate;air;low population density, long-term;kilogram;312
Hydrocarbons, aliphatic, alkanes, unspecified;water;ground-;kilogram;313
Fomesafen;air;non-urban air or from high stacks;kilogram;314
Ethane thiol;air;urban air close to ground;kilogram;315
Formaldehyde;air;low population density, long-term;kilogram;316
1-Pentanol;air;low population density, long-term;kilogram;317
Cypermethrin;air;non-urban air or from high stacks;kilogram;318
Chlorinated solvents, unspecified;water;unspecified;kilogram;319
Ethylene glycol monoethyl ether;air;urban air close to ground;kilogram;320
Oils, unspecified;soil;industrial;kilogram;321
Carbon disulfide;water;ocean;kilogram;322
Hypochlorite;water;ocean;kilogram;323
Asulam;soil;agricultural;kilogram;324
Phosphorous acid;soil;agricultural;kilogram;325
Fluorene;air;non-urban air or from high stacks;kilogram;326
Beta-cyfluthrin;soil;forestry;kilogram;327
Azinphos-methyl;soil;agricultural;kilogram;328
Nitrogen oxides;air;lower stratosphere + upper troposphere;kilogram;329
Manganese-54;air;urban air close to ground;kilo Becquerel;330
Magnesium;air;urban air close to ground;kilogram;331
Bentazone;soil;agricultural;kilogram;332
Isopropanol;air;urban air close to ground;kilogram;333
Sulfate;water;ground-, long-term;kilogram;334
Oxasulfuron;soil;agricultural;kilogram;335
Butene;water;ocean;kilogram;336
Argon;air;unspecified;kilogram;337
Isocyanic acid;air;urban air close to ground;kilogram;338
Ethyl cellulose;air;low population density, long-term;kilogram;339
Zeta-cypermethrin;soil;agricultural;kilogram;340
Trimethylchlorosilane;air;low population density, long-term;kilogram;341
Dicrotophos;soil;agricultural;kilogram;342
Radon-222;air;urban air close to ground;kilo Becquerel;343
Formate;water;ground-, long-term;kilogram;344
Iodine-129;water;ground-;kilo Becquerel;345
Profenofos;soil;agricultural;kilogram;346
Methanol;air;non-urban air or from high stacks;kilogram;347
Iodine-133;water;ground-;kilo Becquerel;348
Chromium-51;air;low population density, long-term;kilo Becquerel;349
Potassium-40;air;urban air close to ground;kilo Becquerel;350
Picoxystrobin;soil;agricultural;kilogram;351
Lactic acid;air;urban air close to ground;kilogram;352
2,4-D;water;surface water;kilogram;353
Monochloropentafluoroethane;air;urban air close to ground;kilogram;354
Acetamiprid;air;unspecified;kilogram;355
Potassium-40;water;surface water;kilo Becquerel;356
1-Pentene;air;urban air close to ground;kilogram;357
Butanol;air;urban air close to ground;kilogram;358
Water, lake;natural resource;in water;cubic meter;359
Cumene;air;low population density, long-term;kilogram;360
Benzaldehyde;water;unspecified;kilogram;361
Transformation, to inland waterbody, unspecified;natural resource;land;square meter;362
Lithium I;water;ground-, long-term;kilogram;363
Chromium III;water;ground-, long-term;kilogram;364
Benzo(ghi)perylene;air;non-urban air or from high stacks;kilogram;365
Chlorides, unspecified;water;unspecified;kilogram;366
Acenaphthylene;water;surface water;kilogram;367
Fish, demersal, in ocean;natural resource;biotic;kilogram;368
Chlorothalonil;air;unspecified;kilogram;369
Strontium II;air;low population density, long-term;kilogram;370
Oxygen;water;unspecified;kilogram;371
Iodine-131;water;ground-, long-term;kilo Becquerel;372
Diflufenican;water;surface water;kilogram;373
Nitrate;air;non-urban air or from high stacks;kilogram;374
Cobalt-57;air;unspecified;kilo Becquerel;375
Krypton-87;air;low population density, long-term;kilo Becquerel;376
Diisobutyl ketone;water;ground-;kilogram;377
Yttrium-90;water;surface water;kilo Becquerel;378
Peat;natural resource;biotic;kilogram;379
Diethylamine;air;unspecified;kilogram;380
Suspended solids, unspecified;water;surface water;kilogram;381
Transformation, to dump site, slag compartment;natural resource;land;square meter;382
Propylene;water;ground-, long-term;kilogram;383
Clethodim;water;ground-;kilogram;384
Formate;water;ocean;kilogram;385
Acetamiprid;water;unspecified;kilogram;386
Sulfuric acid;air;unspecified;kilogram;387
Carbon tetrachloride;air;unspecified;kilogram;388
Actinides, radioactive, unspecified;water;surface water;kilo Becquerel;389
Barite;water;surface water;kilogram;390
Sulfur;soil;unspecified;kilogram;391
Molybdenum-99;water;ground-;kilo Becquerel;392
Xenon-131m;air;unspecified;kilo Becquerel;393
Uranium-235;air;unspecified;kilo Becquerel;394
Flusilazole;soil;agricultural;kilogram;395
Butene;water;ground-;kilogram;396
Methane, bromotrifluoro-, Halon 1301;air;unspecified;kilogram;397
Carbon tetrachloride;air;urban air close to ground;kilogram;398
Sulfur hexafluoride;air;non-urban air or from high stacks;kilogram;399
Bifenthrin;air;non-urban air or from high stacks;kilogram;400
Carbon dioxide, fossil;air;unspecified;kilogram;401
MCPB;water;ground-;kilogram;402
Nitrogen oxides;air;low population density, long-term;kilogram;403
Fluopyram;soil;agricultural;kilogram;404
Chlorotrifluoromethane;air;non-urban air or from high stacks;kilogram;405
Xenon-138;air;urban air close to ground;kilo Becquerel;406
Mecoprop;soil;agricultural;kilogram;407
Quizalofop-p-ethyl;water;unspecified;kilogram;408
Simazine;air;non-urban air or from high stacks;kilogram;409
Alpha-cypermethrin;air;unspecified;kilogram;410
Perlite;natural resource;in ground;kilogram;411
Radioactive species, other beta emitters;air;unspecified;kilo Becquerel;412
1-Pentanol;water;ocean;kilogram;413
Thiocyanate;water;ground-, long-term;kilogram;414
Abamectin;air;unspecified;kilogram;415
Sodium hydroxide;air;low population density, long-term;kilogram;416
Abamectin;water;ground-;kilogram;417
Krypton-85;water;surface water;kilo Becquerel;418
Potassium chloride;air;urban air close to ground;kilogram;419
Particulate Matter, < 2.5 um;air;low population density, long-term;kilogram;420
Fuberidazole;soil;agricultural;kilogram;421
Chlorate;water;unspecified;kilogram;422
Anthranilic acid;air;urban air close to ground;kilogram;423
Uranium-235;air;non-urban air or from high stacks;kilo Becquerel;424
Fenpiclonil;soil;agricultural;kilogram;425
Benzovindiflupyr;soil;forestry;kilogram;426
Rhenium;natural resource;in ground;kilogram;427
Iron ion;water;surface water;kilogram;428
Vanadium V;water;ground-, long-term;kilogram;429
Ethyl benzene;water;ground-;kilogram;430
Antimony-122;water;unspecified;kilo Becquerel;431
Hydroxide;water;ground-;kilogram;432
Molybdenum VI;soil;forestry;kilogram;433
Isopropylamine;water;ground-;kilogram;434
Zinc II;air;non-urban air or from high stacks;kilogram;435
Difenoconazole;water;unspecified;kilogram;436
Oils, unspecified;water;ground-, long-term;kilogram;437
Isoprene;air;unspecified;kilogram;438
Lithium I;air;urban air close to ground;kilogram;439
Thorium-230;air;urban air close to ground;kilo Becquerel;440
Dichlofluanid;soil;agricultural;kilogram;441
Sodium formate;water;ground-, long-term;kilogram;442
Hydrochloric acid;air;unspecified;kilogram;443
Diisobutyl ketone;water;surface water;kilogram;444
Pyridate;soil;agricultural;kilogram;445
Occupation, permanent crop;natural resource;land;square meter-year;446
Sulfur dichloride;air;unspecified;kilogram;447
4-Methyl-2-pentanol;water;surface water;kilogram;448
Chloroacetyl chloride;water;surface water;kilogram;449
Propane;air;low population density, long-term;kilogram;450
Isobutanol;air;unspecified;kilogram;451
Phosphoric acid;air;unspecified;kilogram;452
Formamide;air;urban air close to ground;kilogram;453
Benzo(k)fluoranthene;air;non-urban air or from high stacks;kilogram;454
Dimethoate;water;ground-;kilogram;455
Hydrocarbons, aliphatic, alkanes, cyclic;air;non-urban air or from high stacks;kilogram;456
Magnesium;air;unspecified;kilogram;457
Diflubenzuron;water;unspecified;kilogram;458
Aluminium III;water;unspecified;kilogram;459
Oxygen;air;unspecified;kilogram;460
Cobalt-57;water;unspecified;kilo Becquerel;461
Isoprene;air;urban air close to ground;kilogram;462
Trifloxystrobin;water;unspecified;kilogram;463
Butralin;soil;agricultural;kilogram;464
Phosphorus;soil;forestry;kilogram;465
Ethyl acetate;water;surface water;kilogram;466
Boron carbide;water;unspecified;kilogram;467
Nitrobenzene;air;urban air close to ground;kilogram;468
Phosphate;water;ground-, long-term;kilogram;469
tau-Fluvalinate;soil;agricultural;kilogram;470
Volume occupied, reservoir;natural resource;in water;cubic meter-year;471
Carbon-14;water;ground-, long-term;kilo Becquerel;472
Imazethapyr;soil;forestry;kilogram;473
Carbon monoxide, fossil;air;unspecified;kilogram;474
Iodine-129;air;urban air close to ground;kilo Becquerel;475
Iodine-129;water;ground-, long-term;kilo Becquerel;476
